@relation 'SRS 10-weka.filters.unsupervised.attribute.Remove-R19'

@attribute battery_power numeric
@attribute blue {0,1}
@attribute clock_speed numeric
@attribute dual_sim {0,1}
@attribute fc numeric
@attribute four_g {0,1}
@attribute int_memory numeric
@attribute m_dep numeric
@attribute mobile_wt numeric
@attribute n_cores numeric
@attribute pc numeric
@attribute px_width numeric
@attribute ram numeric
@attribute sc_h numeric
@attribute talk_time numeric
@attribute touch_screen {0,1}
@attribute wifi {0,1}
@attribute price_category {0,1}

@data
614,0,2.9,1,3,1,24,0.2,94,4,7,603,1930,13,4,0,1,0
1365,0,0.6,0,0,1,31,0.3,125,4,0,970,1300,14,13,0,1,0
742,1,2.3,0,0,0,21,0.7,104,8,1,925,331,11,7,0,0,0
1846,1,0.6,0,1,0,19,0.7,159,1,2,773,1333,15,11,1,1,0
1043,0,2.7,0,3,0,29,0.2,83,8,17,893,1183,5,8,0,0,0
1181,0,2.3,0,12,1,61,0.6,116,2,16,831,2020,6,18,1,0,0
1801,0,0.5,1,6,0,52,0.9,120,6,10,1708,258,14,9,0,0,0
509,1,0.6,1,2,1,9,0.1,93,5,15,1224,513,19,12,0,0,0
904,0,1.6,1,5,1,14,0.2,102,8,9,760,1846,7,3,0,1,0
850,1,1.6,1,6,1,29,0.5,133,5,19,642,593,19,10,0,1,0
963,0,0.5,0,1,1,60,0.8,156,3,3,821,2722,12,16,0,0,0
1968,0,0.9,0,0,0,22,0.8,115,3,7,1259,2323,9,7,0,1,0
1550,1,2.5,0,6,0,21,0.8,133,2,11,832,2338,16,15,1,0,0
1830,1,0.5,0,5,0,14,0.8,160,6,6,1353,1905,16,19,1,1,0
1076,0,2.5,0,3,0,14,0.2,105,5,4,1300,2043,7,14,0,0,0
623,0,1.4,1,0,1,15,0.2,189,3,1,844,3510,14,18,0,1,0
739,1,2.3,1,2,1,58,0.1,88,3,4,1536,475,7,6,0,1,0
999,0,2.9,1,11,1,64,0.2,199,4,19,1616,2593,14,16,1,0,0
793,1,1.9,1,0,1,43,0.3,124,8,2,1196,1050,11,3,1,1,0
1273,1,0.7,0,1,0,23,0.6,178,6,14,1399,558,8,13,0,0,0
1631,0,0.5,0,2,1,13,0.5,166,2,16,1735,2173,12,8,1,0,0
1481,1,2,1,0,0,35,0.5,105,3,0,522,2635,17,4,0,1,0
1872,1,0.9,1,0,0,16,0.5,80,2,2,1484,2295,15,16,0,1,0
1018,1,0.7,1,7,0,63,0.1,155,5,18,883,3048,10,2,0,1,0
1193,0,0.9,0,11,0,26,0.5,166,1,20,1729,536,17,4,0,1,0
668,0,0.5,1,0,0,3,0.1,155,5,13,1203,2746,9,8,1,1,0
528,0,1.7,0,12,1,6,0.8,142,2,15,637,3256,9,6,1,0,0
1811,1,0.5,1,0,0,32,1,115,6,0,1132,348,17,18,0,1,0
576,1,2.8,0,2,1,10,0.2,184,5,7,1438,2938,6,5,1,1,0
638,0,1.7,1,11,0,27,0.5,102,4,17,1383,2735,7,9,1,0,0
514,1,2.9,1,5,0,18,0.7,141,2,8,1492,980,13,16,0,1,0
922,0,1.5,1,1,1,35,0.9,188,7,15,1383,1165,19,4,1,1,0
708,0,1.9,0,0,0,26,0.3,116,7,1,620,1419,10,16,1,1,0
1048,1,1.5,0,2,1,29,1,182,1,4,1670,2146,11,2,0,0,0
774,1,0.6,1,2,1,8,0.4,136,1,4,1865,2614,7,14,1,1,0
708,1,2.7,1,0,1,63,1,195,8,7,654,2169,6,7,1,1,0
1822,0,1.2,0,0,0,8,0.2,195,6,0,910,2577,9,8,1,0,0
1725,0,0.5,1,8,1,52,1,185,6,12,1195,1243,19,5,1,1,0
1770,0,2.3,1,0,0,7,0.8,128,7,6,1552,1480,6,17,0,0,0
532,1,0.8,1,3,0,8,0.1,193,5,10,1354,728,13,8,1,0,0
1592,0,2.1,0,6,1,50,0.1,181,2,17,522,2103,19,7,0,0,0
885,0,2.3,1,0,1,15,0.4,103,7,0,802,1410,16,5,1,1,0
1824,1,0.8,0,4,1,19,0.9,143,2,5,1738,2381,14,5,0,0,0
1723,1,1,0,1,1,7,0.6,126,3,17,1361,1213,5,16,1,1,0
1895,0,0.5,0,2,1,5,0.7,134,1,11,1335,774,15,6,1,0,0
710,1,0.5,0,6,0,32,0.8,151,5,9,857,1419,12,18,1,0,0
1097,0,0.8,0,10,1,21,0.1,160,7,15,1352,2219,15,12,0,1,0
1866,0,0.5,0,13,1,52,0.7,185,1,17,563,373,14,3,0,1,0
1959,0,0.5,1,5,0,18,0.7,191,6,20,1055,619,7,8,1,1,0
831,1,0.7,0,2,1,62,0.7,134,8,9,1490,2573,16,18,0,1,0
1269,1,1.3,0,14,0,52,0.8,118,2,15,1920,665,18,5,0,0,0
1986,0,2.7,1,3,1,64,0.2,162,4,20,1520,1377,5,15,1,1,0
1299,1,2.8,1,0,0,64,0.5,83,6,6,908,1938,19,5,0,1,0
912,1,2,0,1,0,54,0.3,161,8,5,1053,2330,19,20,1,0,0
1332,0,1.3,1,5,1,7,0.8,168,7,19,855,2790,19,10,1,0,0
1212,0,2.6,0,1,1,46,0.3,102,4,8,1715,2249,14,4,1,1,0
1720,0,1.6,0,18,1,2,0.8,188,5,20,896,2522,10,2,0,1,0
504,1,0.5,1,5,0,16,0.1,166,1,9,1665,701,17,15,0,1,0
1343,0,2.4,1,5,1,14,0.9,81,8,10,1205,462,18,11,1,1,0
643,1,0.7,1,3,1,23,0.8,156,1,9,1400,2096,13,2,0,0,0
1420,0,2.8,1,1,0,50,0.1,100,8,8,1393,763,17,17,1,1,0
548,0,1,1,0,1,56,0.4,146,4,14,1657,562,17,8,1,1,0
891,0,0.5,1,9,1,25,0.3,196,2,19,1724,2073,7,10,0,1,0
1742,1,1.6,0,3,0,49,0.8,100,1,9,1469,1947,5,6,0,1,0
598,0,2.3,1,7,0,21,0.7,196,2,10,1173,3293,8,7,0,1,0
1097,0,1.4,0,0,0,60,0.8,181,1,17,519,509,15,12,0,0,0
675,0,2.4,0,1,0,42,0.6,187,7,2,874,2953,9,13,1,0,0
973,1,1.5,0,5,1,57,0.2,190,7,16,1816,2977,6,2,0,0,0
1619,1,0.9,0,3,0,20,0.9,117,6,9,1180,464,7,16,0,1,0
1876,0,2.8,1,3,1,56,0.4,182,3,4,585,3021,12,18,0,0,0
1367,0,2.9,0,4,0,56,0.8,176,2,6,642,299,6,10,1,0,0
1331,0,0.5,0,8,0,55,0.9,146,3,15,1531,1732,6,11,0,1,0
1510,1,2.5,1,11,0,47,0.7,138,2,13,1170,887,18,5,0,0,0
852,1,1.6,1,6,1,54,0.4,147,5,7,730,1275,13,12,0,1,0
1907,0,2,0,13,0,55,0.9,105,7,15,1513,286,14,17,0,1,0
1837,0,0.5,0,9,0,36,0.9,162,4,20,872,770,14,15,0,1,0
626,1,2.8,1,3,1,11,0.8,109,2,9,1759,1077,6,4,0,1,0
1945,0,1.6,1,0,1,57,0.3,195,4,1,1753,732,14,14,1,0,0
551,1,2.8,0,0,1,54,0.1,172,7,15,1916,1414,6,19,0,1,0
1885,0,2.4,1,12,1,14,0.6,92,4,15,1517,1277,9,16,0,1,0
983,0,1.8,0,0,1,53,0.9,187,1,4,1176,1389,17,8,1,1,0
1344,0,1.5,0,1,0,14,0.5,190,1,3,556,2074,8,5,1,0,0
1065,0,1.7,1,4,1,48,0.3,162,6,8,1948,265,8,12,0,0,0
1868,1,0.5,0,2,1,40,0.9,179,8,17,884,298,8,17,1,0,0
1350,1,0.5,1,0,1,50,0.8,181,8,4,544,2287,15,8,1,0,0
1266,0,1.9,1,0,1,7,0.2,184,3,12,1468,2532,10,4,1,1,0
577,0,2.4,0,8,1,37,0.9,161,6,20,1450,814,11,19,1,1,0
726,0,2.9,0,0,0,43,0.1,101,8,0,760,1446,17,8,1,0,0
683,0,0.7,0,5,0,19,0.9,173,4,17,1985,2622,16,5,0,1,0
871,0,0.6,0,2,0,52,0.1,178,3,3,1437,437,14,17,0,0,0
745,1,0.6,1,5,0,35,0.8,102,8,10,1538,2459,14,16,1,0,0
685,0,0.5,0,2,0,29,0.8,93,7,10,648,728,14,4,0,1,0
1068,0,0.5,1,0,1,19,0.9,197,8,9,875,1209,19,12,1,0,0
1260,0,0.6,0,5,1,13,1,106,6,6,736,2710,13,8,1,0,0
637,0,2.3,0,3,1,60,0.8,97,4,4,1989,374,18,8,0,1,0
1697,0,0.5,0,0,1,60,0.1,90,4,0,1046,441,15,11,1,0,0
786,0,2.2,1,0,0,33,0.5,141,7,6,1697,2390,12,5,0,1,0
1205,0,0.5,1,3,0,12,0.6,175,4,6,614,860,14,14,0,1,0
831,0,2.4,0,10,0,55,0.5,86,6,12,1239,1075,12,3,1,0,0
1193,1,2.3,0,7,0,20,1,158,7,13,1904,1958,7,2,0,0,0
1799,0,1,0,1,1,30,0.6,123,3,9,1386,445,10,10,1,0,0
868,1,0.9,0,5,0,5,0.4,137,4,7,1311,1519,13,2,0,1,0
804,1,0.8,1,12,1,41,0.9,89,1,13,818,2027,11,11,0,0,0
1974,0,0.5,1,9,0,10,0.8,145,6,12,1496,1433,6,17,0,0,0
1341,1,2.1,1,0,0,36,0.4,107,8,1,574,2200,18,15,1,0,0
621,1,2.7,1,0,0,54,0.1,151,4,20,910,2801,6,5,1,1,0
616,1,2.2,0,3,1,21,0.8,150,7,4,513,3267,17,19,0,0,0
999,0,2.6,1,11,1,56,1,165,4,13,1641,3083,8,11,1,1,0
1067,0,1.8,1,11,0,14,0.2,146,1,15,1009,966,5,13,0,1,0
1132,0,1,0,0,0,8,0.1,157,1,4,1293,1950,11,6,1,1,0
868,0,1.7,0,0,0,30,0.8,83,4,0,1026,1653,11,17,0,0,0
